model,kind,uid,source,harmful,split,role,design,n_tokens,content_tokens,t_inst,t_post_inst,slot_is_fixed
llama3.1-8b,fitting,89c14b5d0ce8,jbb,True,train,assistant,fixed_slot,68,18,62,67,True
llama3.1-8b,fitting,89c14b5d0ce8,jbb,True,train,system,natural_slot,57,18,42,56,False
llama3.1-8b,fitting,89c14b5d0ce8,jbb,True,train,user,natural_slot,59,18,53,58,False
llama3.1-8b,fitting,89c14b5d0ce8,jbb,True,train,tool,natural_slot,79,18,72,78,False
llama3.1-8b,fitting,89c14b5d0ce8,jbb,True,train,assistant,natural_slot,68,18,62,67,False
llama3.1-8b,fitting,e3eb0677aedd,sorry-bench,True,train,system,fixed_slot,106,67,91,105,False
llama3.1-8b,fitting,e3eb0677aedd,sorry-bench,True,train,user,fixed_slot,117,67,111,116,True
llama3.1-8b,fitting,e3eb0677aedd,sorry-bench,True,train,tool,fixed_slot,119,67,113,118,True
llama3.1-8b,fitting,e3eb0677aedd,sorry-bench,True,train,assistant,fixed_slot,117,67,111,116,True
llama3.1-8b,fitting,e3eb0677aedd,sorry-bench,True,train,system,natural_slot,106,67,91,105,False
llama3.1-8b,fitting,e3eb0677aedd,sorry-bench,True,train,user,natural_slot,108,67,102,107,False
llama3.1-8b,fitting,e3eb0677aedd,sorry-bench,True,train,tool,natural_slot,127,67,121,126,False
llama3.1-8b,fitting,e3eb0677aedd,sorry-bench,True,train,assistant,natural_slot,117,67,111,116,False
llama3.1-8b,fitting,c1a34a9afbfd,advbench,True,test,system,fixed_slot,51,12,36,50,False
llama3.1-8b,fitting,c1a34a9afbfd,advbench,True,test,user,fixed_slot,62,12,56,61,True
llama3.1-8b,fitting,c1a34a9afbfd,advbench,True,test,tool,fixed_slot,65,12,58,64,True
llama3.1-8b,fitting,c1a34a9afbfd,advbench,True,test,assistant,fixed_slot,62,12,56,61,True
llama3.1-8b,fitting,c1a34a9afbfd,advbench,True,test,system,natural_slot,51,12,36,50,False
llama3.1-8b,fitting,c1a34a9afbfd,advbench,True,test,user,natural_slot,53,12,47,52,False
llama3.1-8b,fitting,c1a34a9afbfd,advbench,True,test,tool,natural_slot,73,12,66,72,False
llama3.1-8b,fitting,c1a34a9afbfd,advbench,True,test,assistant,natural_slot,62,12,56,61,False
llama3.1-8b,fitting,712f240d752b,jbb,True,train,system,fixed_slot,54,15,39,53,False
llama3.1-8b,fitting,712f240d752b,jbb,True,train,user,fixed_slot,65,15,59,64,True
llama3.1-8b,fitting,712f240d752b,jbb,True,train,tool,fixed_slot,68,15,61,67,True
llama3.1-8b,fitting,712f240d752b,jbb,True,train,assistant,fixed_slot,65,15,59,64,True
llama3.1-8b,fitting,712f240d752b,jbb,True,train,system,natural_slot,54,15,39,53,False
llama3.1-8b,fitting,712f240d752b,jbb,True,train,user,natural_slot,56,15,50,55,False
llama3.1-8b,fitting,712f240d752b,jbb,True,train,tool,natural_slot,76,15,69,75,False
llama3.1-8b,fitting,712f240d752b,jbb,True,train,assistant,natural_slot,65,15,59,64,False
llama3.1-8b,fitting,3a8270b0bd41,sorry-bench,True,train,system,fixed_slot,55,16,40,54,False
llama3.1-8b,fitting,3a8270b0bd41,sorry-bench,True,train,user,fixed_slot,66,16,60,65,True
llama3.1-8b,fitting,3a8270b0bd41,sorry-bench,True,train,tool,fixed_slot,68,16,62,67,True
llama3.1-8b,fitting,3a8270b0bd41,sorry-bench,True,train,assistant,fixed_slot,66,16,60,65,True
llama3.1-8b,fitting,3a8270b0bd41,sorry-bench,True,train,system,natural_slot,55,16,40,54,False
llama3.1-8b,fitting,3a8270b0bd41,sorry-bench,True,train,user,natural_slot,57,16,51,56,False
llama3.1-8b,fitting,3a8270b0bd41,sorry-bench,True,train,tool,natural_slot,76,16,70,75,False
llama3.1-8b,fitting,3a8270b0bd41,sorry-bench,True,train,assistant,natural_slot,66,16,60,65,False
llama3.1-8b,fitting,54f074704a90,advbench,True,train,system,fixed_slot,55,16,40,54,False
llama3.1-8b,fitting,54f074704a90,advbench,True,train,user,fixed_slot,66,16,60,65,True
llama3.1-8b,fitting,54f074704a90,advbench,True,train,tool,fixed_slot,69,16,62,68,True
llama3.1-8b,fitting,54f074704a90,advbench,True,train,assistant,fixed_slot,66,16,60,65,True
llama3.1-8b,fitting,54f074704a90,advbench,True,train,system,natural_slot,55,16,40,54,False
llama3.1-8b,fitting,54f074704a90,advbench,True,train,user,natural_slot,57,16,51,56,False
llama3.1-8b,fitting,54f074704a90,advbench,True,train,tool,natural_slot,77,16,70,76,False
llama3.1-8b,fitting,54f074704a90,advbench,True,train,assistant,natural_slot,66,16,60,65,False
llama3.1-8b,fitting,484ea44df7a7,jbb,True,test,system,fixed_slot,60,21,45,59,False
llama3.1-8b,fitting,484ea44df7a7,jbb,True,test,user,fixed_slot,71,21,65,70,True
llama3.1-8b,fitting,484ea44df7a7,jbb,True,test,tool,fixed_slot,74,21,67,73,True
llama3.1-8b,fitting,484ea44df7a7,jbb,True,test,assistant,fixed_slot,71,21,65,70,True
llama3.1-8b,fitting,484ea44df7a7,jbb,True,test,system,natural_slot,60,21,45,59,False
llama3.1-8b,fitting,484ea44df7a7,jbb,True,test,user,natural_slot,62,21,56,61,False
llama3.1-8b,fitting,484ea44df7a7,jbb,True,test,tool,natural_slot,82,21,75,81,False
llama3.1-8b,fitting,484ea44df7a7,jbb,True,test,assistant,natural_slot,71,21,65,70,False
llama3.1-8b,fitting,751ee0765ae8,sorry-bench,True,train,system,fixed_slot,56,17,41,55,False
llama3.1-8b,fitting,751ee0765ae8,sorry-bench,True,train,user,fixed_slot,67,17,61,66,True
llama3.1-8b,fitting,751ee0765ae8,sorry-bench,True,train,tool,fixed_slot,69,17,63,68,True
llama3.1-8b,fitting,751ee0765ae8,sorry-bench,True,train,assistant,fixed_slot,67,17,61,66,True
llama3.1-8b,fitting,751ee0765ae8,sorry-bench,True,train,system,natural_slot,56,17,41,55,False
llama3.1-8b,fitting,751ee0765ae8,sorry-bench,True,train,user,natural_slot,58,17,52,57,False
llama3.1-8b,fitting,751ee0765ae8,sorry-bench,True,train,tool,natural_slot,77,17,71,76,False
llama3.1-8b,fitting,751ee0765ae8,sorry-bench,True,train,assistant,natural_slot,67,17,61,66,False
llama3.1-8b,fitting,6c757e9d0138,advbench,True,train,system,fixed_slot,58,19,43,57,False
llama3.1-8b,fitting,6c757e9d0138,advbench,True,train,user,fixed_slot,69,19,63,68,True
llama3.1-8b,fitting,6c757e9d0138,advbench,True,train,tool,fixed_slot,72,19,65,71,True
llama3.1-8b,fitting,6c757e9d0138,advbench,True,train,assistant,fixed_slot,69,19,63,68,True
llama3.1-8b,fitting,6c757e9d0138,advbench,True,train,system,natural_slot,58,19,43,57,False
llama3.1-8b,fitting,6c757e9d0138,advbench,True,train,user,natural_slot,60,19,54,59,False
llama3.1-8b,fitting,6c757e9d0138,advbench,True,train,tool,natural_slot,80,19,73,79,False
llama3.1-8b,fitting,6c757e9d0138,advbench,True,train,assistant,natural_slot,69,19,63,68,False
llama3.1-8b,fitting,98a9d0fc2421,jbb,True,train,system,fixed_slot,54,15,39,53,False
llama3.1-8b,fitting,98a9d0fc2421,jbb,True,train,user,fixed_slot,65,15,59,64,True
llama3.1-8b,fitting,98a9d0fc2421,jbb,True,train,tool,fixed_slot,68,15,61,67,True
llama3.1-8b,fitting,98a9d0fc2421,jbb,True,train,assistant,fixed_slot,65,15,59,64,True
llama3.1-8b,fitting,98a9d0fc2421,jbb,True,train,system,natural_slot,54,15,39,53,False
llama3.1-8b,fitting,98a9d0fc2421,jbb,True,train,user,natural_slot,56,15,50,55,False
llama3.1-8b,fitting,98a9d0fc2421,jbb,True,train,tool,natural_slot,76,15,69,75,False
llama3.1-8b,fitting,98a9d0fc2421,jbb,True,train,assistant,natural_slot,65,15,59,64,False
llama3.1-8b,fitting,f4ff569bc744,sorry-bench,True,test,system,fixed_slot,64,25,49,63,False
llama3.1-8b,fitting,f4ff569bc744,sorry-bench,True,test,user,fixed_slot,75,25,69,74,True
llama3.1-8b,fitting,f4ff569bc744,sorry-bench,True,test,tool,fixed_slot,77,25,71,76,True
llama3.1-8b,fitting,f4ff569bc744,sorry-bench,True,test,assistant,fixed_slot,75,25,69,74,True
llama3.1-8b,fitting,f4ff569bc744,sorry-bench,True,test,system,natural_slot,64,25,49,63,False
llama3.1-8b,fitting,f4ff569bc744,sorry-bench,True,test,user,natural_slot,66,25,60,65,False
llama3.1-8b,fitting,f4ff569bc744,sorry-bench,True,test,tool,natural_slot,85,25,79,84,False
llama3.1-8b,fitting,f4ff569bc744,sorry-bench,True,test,assistant,natural_slot,75,25,69,74,False
llama3.1-8b,fitting,38b2fb39b46b,advbench,True,train,system,fixed_slot,52,13,37,51,False
llama3.1-8b,fitting,38b2fb39b46b,advbench,True,train,user,fixed_slot,63,13,57,62,True
llama3.1-8b,fitting,38b2fb39b46b,advbench,True,train,tool,fixed_slot,66,13,59,65,True
llama3.1-8b,fitting,38b2fb39b46b,advbench,True,train,assistant,fixed_slot,63,13,57,62,True
llama3.1-8b,fitting,38b2fb39b46b,advbench,True,train,system,natural_slot,52,13,37,51,False
llama3.1-8b,fitting,38b2fb39b46b,advbench,True,train,user,natural_slot,54,13,48,53,False
llama3.1-8b,fitting,38b2fb39b46b,advbench,True,train,tool,natural_slot,74,13,67,73,False
llama3.1-8b,fitting,38b2fb39b46b,advbench,True,train,assistant,natural_slot,63,13,57,62,False
llama3.1-8b,fitting,05ef1424f5c9,jbb,True,train,system,fixed_slot,54,15,39,53,False
llama3.1-8b,fitting,05ef1424f5c9,jbb,True,train,user,fixed_slot,65,15,59,64,True
llama3.1-8b,fitting,05ef1424f5c9,jbb,True,train,tool,fixed_slot,68,15,61,67,True
llama3.1-8b,fitting,05ef1424f5c9,jbb,True,train,assistant,fixed_slot,65,15,59,64,True
llama3.1-8b,fitting,05ef1424f5c9,jbb,True,train,system,natural_slot,54,15,39,53,False
llama3.1-8b,fitting,05ef1424f5c9,jbb,True,train,user,natural_slot,56,15,50,55,False
llama3.1-8b,fitting,05ef1424f5c9,jbb,True,train,tool,natural_slot,76,15,69,75,False
llama3.1-8b,fitting,05ef1424f5c9,jbb,True,train,assistant,natural_slot,65,15,59,64,False
llama3.1-8b,fitting,91f8bd51a516,sorry-bench,True,train,system,fixed_slot,86,47,71,85,False
llama3.1-8b,fitting,91f8bd51a516,sorry-bench,True,train,user,fixed_slot,97,47,91,96,True
llama3.1-8b,fitting,91f8bd51a516,sorry-bench,True,train,tool,fixed_slot,98,47,92,97,True
llama3.1-8b,fitting,91f8bd51a516,sorry-bench,True,train,assistant,fixed_slot,97,47,91,96,True
llama3.1-8b,fitting,91f8bd51a516,sorry-bench,True,train,system,natural_slot,86,47,71,85,False
llama3.1-8b,fitting,91f8bd51a516,sorry-bench,True,train,user,natural_slot,88,47,82,87,False
llama3.1-8b,fitting,91f8bd51a516,sorry-bench,True,train,tool,natural_slot,106,47,100,105,False
llama3.1-8b,fitting,91f8bd51a516,sorry-bench,True,train,assistant,natural_slot,97,47,91,96,False
llama3.1-8b,fitting,8f58f7973dd9,advbench,True,test,system,fixed_slot,48,9,33,47,False
llama3.1-8b,fitting,8f58f7973dd9,advbench,True,test,user,fixed_slot,59,9,53,58,True
llama3.1-8b,fitting,8f58f7973dd9,advbench,True,test,tool,fixed_slot,61,9,54,60,True
llama3.1-8b,fitting,8f58f7973dd9,advbench,True,test,assistant,fixed_slot,59,9,53,58,True
llama3.1-8b,fitting,8f58f7973dd9,advbench,True,test,system,natural_slot,48,9,33,47,False
llama3.1-8b,fitting,8f58f7973dd9,advbench,True,test,user,natural_slot,50,9,44,49,False
llama3.1-8b,fitting,8f58f7973dd9,advbench,True,test,tool,natural_slot,69,9,62,68,False
llama3.1-8b,fitting,8f58f7973dd9,advbench,True,test,assistant,natural_slot,59,9,53,58,False
llama3.1-8b,fitting,d147de3ea3a7,jbb,True,train,system,fixed_slot,48,9,33,47,False
llama3.1-8b,fitting,d147de3ea3a7,jbb,True,train,user,fixed_slot,59,9,53,58,True
llama3.1-8b,fitting,d147de3ea3a7,jbb,True,train,tool,fixed_slot,62,9,55,61,True
llama3.1-8b,fitting,d147de3ea3a7,jbb,True,train,assistant,fixed_slot,59,9,53,58,True
llama3.1-8b,fitting,d147de3ea3a7,jbb,True,train,system,natural_slot,48,9,33,47,False
llama3.1-8b,fitting,d147de3ea3a7,jbb,True,train,user,natural_slot,50,9,44,49,False
llama3.1-8b,fitting,d147de3ea3a7,jbb,True,train,tool,natural_slot,70,9,63,69,False
llama3.1-8b,fitting,d147de3ea3a7,jbb,True,train,assistant,natural_slot,59,9,53,58,False
llama3.1-8b,fitting,23ba1e2db5d5,sorry-bench,True,train,system,fixed_slot,51,12,36,50,False
llama3.1-8b,fitting,23ba1e2db5d5,sorry-bench,True,train,user,fixed_slot,62,12,56,61,True
llama3.1-8b,fitting,23ba1e2db5d5,sorry-bench,True,train,tool,fixed_slot,64,12,58,63,True
llama3.1-8b,fitting,23ba1e2db5d5,sorry-bench,True,train,assistant,fixed_slot,62,12,56,61,True
llama3.1-8b,fitting,23ba1e2db5d5,sorry-bench,True,train,system,natural_slot,51,12,36,50,False
llama3.1-8b,fitting,23ba1e2db5d5,sorry-bench,True,train,user,natural_slot,53,12,47,52,False
llama3.1-8b,fitting,23ba1e2db5d5,sorry-bench,True,train,tool,natural_slot,72,12,66,71,False
llama3.1-8b,fitting,23ba1e2db5d5,sorry-bench,True,train,assistant,natural_slot,62,12,56,61,False
llama3.1-8b,fitting,91940b572182,advbench,True,train,system,fixed_slot,47,8,32,46,False
llama3.1-8b,fitting,91940b572182,advbench,True,train,user,fixed_slot,58,8,52,57,True
llama3.1-8b,fitting,91940b572182,advbench,True,train,tool,fixed_slot,61,8,54,60,True
llama3.1-8b,fitting,91940b572182,advbench,True,train,assistant,fixed_slot,58,8,52,57,True
llama3.1-8b,fitting,91940b572182,advbench,True,train,system,natural_slot,47,8,32,46,False
llama3.1-8b,fitting,91940b572182,advbench,True,train,user,natural_slot,49,8,43,48,False
llama3.1-8b,fitting,91940b572182,advbench,True,train,tool,natural_slot,69,8,62,68,False
llama3.1-8b,fitting,91940b572182,advbench,True,train,assistant,natural_slot,58,8,52,57,False
llama3.1-8b,fitting,4e9e752935ba,jbb,True,train,system,fixed_slot,50,11,35,49,False
llama3.1-8b,fitting,4e9e752935ba,jbb,True,train,user,fixed_slot,61,11,55,60,True
llama3.1-8b,fitting,4e9e752935ba,jbb,True,train,tool,fixed_slot,64,11,57,63,True
llama3.1-8b,fitting,4e9e752935ba,jbb,True,train,assistant,fixed_slot,61,11,55,60,True
llama3.1-8b,fitting,4e9e752935ba,jbb,True,train,system,natural_slot,50,11,35,49,False
llama3.1-8b,fitting,4e9e752935ba,jbb,True,train,user,natural_slot,52,11,46,51,False
llama3.1-8b,fitting,4e9e752935ba,jbb,True,train,tool,natural_slot,72,11,65,71,False
llama3.1-8b,fitting,4e9e752935ba,jbb,True,train,assistant,natural_slot,61,11,55,60,False
llama3.1-8b,fitting,fe1f50a10d30,sorry-bench,True,train,system,fixed_slot,53,14,38,52,False
llama3.1-8b,fitting,fe1f50a10d30,sorry-bench,True,train,user,fixed_slot,64,14,58,63,True
llama3.1-8b,fitting,fe1f50a10d30,sorry-bench,True,train,tool,fixed_slot,66,14,60,65,True
llama3.1-8b,fitting,fe1f50a10d30,sorry-bench,True,train,assistant,fixed_slot,64,14,58,63,True
llama3.1-8b,fitting,fe1f50a10d30,sorry-bench,True,train,system,natural_slot,53,14,38,52,False
llama3.1-8b,fitting,fe1f50a10d30,sorry-bench,True,train,user,natural_slot,55,14,49,54,False
llama3.1-8b,fitting,fe1f50a10d30,sorry-bench,True,train,tool,natural_slot,74,14,68,73,False
llama3.1-8b,fitting,fe1f50a10d30,sorry-bench,True,train,assistant,natural_slot,64,14,58,63,False
llama3.1-8b,fitting,74dcc43e0319,advbench,True,train,system,fixed_slot,49,10,34,48,False
llama3.1-8b,fitting,74dcc43e0319,advbench,True,train,user,fixed_slot,60,10,54,59,True
llama3.1-8b,fitting,74dcc43e0319,advbench,True,train,tool,fixed_slot,63,10,56,62,True
llama3.1-8b,fitting,74dcc43e0319,advbench,True,train,assistant,fixed_slot,60,10,54,59,True
llama3.1-8b,fitting,74dcc43e0319,advbench,True,train,system,natural_slot,49,10,34,48,False
llama3.1-8b,fitting,74dcc43e0319,advbench,True,train,user,natural_slot,51,10,45,50,False
llama3.1-8b,fitting,74dcc43e0319,advbench,True,train,tool,natural_slot,71,10,64,70,False
llama3.1-8b,fitting,74dcc43e0319,advbench,True,train,assistant,natural_slot,60,10,54,59,False
llama3.1-8b,fitting,0cfbde273fdb,jbb,True,test,system,fixed_slot,55,16,40,54,False
llama3.1-8b,fitting,0cfbde273fdb,jbb,True,test,user,fixed_slot,66,16,60,65,True
llama3.1-8b,fitting,0cfbde273fdb,jbb,True,test,tool,fixed_slot,69,16,62,68,True
llama3.1-8b,fitting,0cfbde273fdb,jbb,True,test,assistant,fixed_slot,66,16,60,65,True
llama3.1-8b,fitting,0cfbde273fdb,jbb,True,test,system,natural_slot,55,16,40,54,False
llama3.1-8b,fitting,0cfbde273fdb,jbb,True,test,user,natural_slot,57,16,51,56,False
llama3.1-8b,fitting,0cfbde273fdb,jbb,True,test,tool,natural_slot,77,16,70,76,False
llama3.1-8b,fitting,0cfbde273fdb,jbb,True,test,assistant,natural_slot,66,16,60,65,False
llama3.1-8b,fitting,faf3b41d336c,sorry-bench,True,train,system,fixed_slot,73,34,58,72,False
llama3.1-8b,fitting,faf3b41d336c,sorry-bench,True,train,user,fixed_slot,84,34,78,83,True
llama3.1-8b,fitting,faf3b41d336c,sorry-bench,True,train,tool,fixed_slot,86,34,80,85,True
llama3.1-8b,fitting,faf3b41d336c,sorry-bench,True,train,assistant,fixed_slot,84,34,78,83,True
llama3.1-8b,fitting,faf3b41d336c,sorry-bench,True,train,system,natural_slot,73,34,58,72,False
llama3.1-8b,fitting,faf3b41d336c,sorry-bench,True,train,user,natural_slot,75,34,69,74,False
llama3.1-8b,fitting,faf3b41d336c,sorry-bench,True,train,tool,natural_slot,94,34,88,93,False
llama3.1-8b,fitting,faf3b41d336c,sorry-bench,True,train,assistant,natural_slot,84,34,78,83,False
llama3.1-8b,fitting,05f22220bc06,advbench,True,train,system,fixed_slot,51,12,36,50,False
llama3.1-8b,fitting,05f22220bc06,advbench,True,train,user,fixed_slot,62,12,56,61,True
llama3.1-8b,fitting,05f22220bc06,advbench,True,train,tool,fixed_slot,65,12,58,64,True
llama3.1-8b,fitting,05f22220bc06,advbench,True,train,assistant,fixed_slot,62,12,56,61,True
llama3.1-8b,fitting,05f22220bc06,advbench,True,train,system,natural_slot,51,12,36,50,False
llama3.1-8b,fitting,05f22220bc06,advbench,True,train,user,natural_slot,53,12,47,52,False
llama3.1-8b,fitting,05f22220bc06,advbench,True,train,tool,natural_slot,73,12,66,72,False
llama3.1-8b,fitting,05f22220bc06,advbench,True,train,assistant,natural_slot,62,12,56,61,False
llama3.1-8b,fitting,8963fd086bad,jbb,True,test,system,fixed_slot,50,11,35,49,False
llama3.1-8b,fitting,8963fd086bad,jbb,True,test,user,fixed_slot,61,11,55,60,True
llama3.1-8b,fitting,8963fd086bad,jbb,True,test,tool,fixed_slot,64,11,57,63,True
llama3.1-8b,fitting,8963fd086bad,jbb,True,test,assistant,fixed_slot,61,11,55,60,True
llama3.1-8b,fitting,8963fd086bad,jbb,True,test,system,natural_slot,50,11,35,49,False
llama3.1-8b,fitting,8963fd086bad,jbb,True,test,user,natural_slot,52,11,46,51,False
llama3.1-8b,fitting,8963fd086bad,jbb,True,test,tool,natural_slot,72,11,65,71,False
llama3.1-8b,fitting,8963fd086bad,jbb,True,test,assistant,natural_slot,61,11,55,60,False
llama3.1-8b,fitting,976a6eff603a,sorry-bench,True,test,system,fixed_slot,51,12,36,50,False
llama3.1-8b,fitting,976a6eff603a,sorry-bench,True,test,user,fixed_slot,62,12,56,61,True
llama3.1-8b,fitting,976a6eff603a,sorry-bench,True,test,tool,fixed_slot,64,12,58,63,True
llama3.1-8b,fitting,976a6eff603a,sorry-bench,True,test,assistant,fixed_slot,62,12,56,61,True
llama3.1-8b,fitting,976a6eff603a,sorry-bench,True,test,system,natural_slot,51,12,36,50,False
llama3.1-8b,fitting,976a6eff603a,sorry-bench,True,test,user,natural_slot,53,12,47,52,False
llama3.1-8b,fitting,976a6eff603a,sorry-bench,True,test,tool,natural_slot,72,12,66,71,False
llama3.1-8b,fitting,976a6eff603a,sorry-bench,True,test,assistant,natural_slot,62,12,56,61,False
llama3.1-8b,fitting,12d95c01bf00,advbench,True,train,system,fixed_slot,50,11,35,49,False
llama3.1-8b,fitting,12d95c01bf00,advbench,True,train,user,fixed_slot,61,11,55,60,True
llama3.1-8b,fitting,12d95c01bf00,advbench,True,train,tool,fixed_slot,64,11,57,63,True
llama3.1-8b,fitting,12d95c01bf00,advbench,True,train,assistant,fixed_slot,61,11,55,60,True
llama3.1-8b,fitting,12d95c01bf00,advbench,True,train,system,natural_slot,50,11,35,49,False
llama3.1-8b,fitting,12d95c01bf00,advbench,True,train,user,natural_slot,52,11,46,51,False
llama3.1-8b,fitting,12d95c01bf00,advbench,True,train,tool,natural_slot,72,11,65,71,False
llama3.1-8b,fitting,12d95c01bf00,advbench,True,train,assistant,natural_slot,61,11,55,60,False
llama3.1-8b,fitting,b812e6f874ba,jbb,True,train,system,fixed_slot,62,23,47,61,False
llama3.1-8b,fitting,b812e6f874ba,jbb,True,train,user,fixed_slot,73,23,67,72,True
llama3.1-8b,fitting,b812e6f874ba,jbb,True,train,tool,fixed_slot,76,23,69,75,True
